#nbCourses
6
#courses
30 96 196 206 208 236 
#status
3 0 0 0 0 3 
#nbFCourses_short
12
#FCourses_short
0 1 2 3 4 5 6 7 8 9 10 11 
#FCourse_short Course
0 30
1 30
2 96
3 96
4 196
5 196
6 206
7 206
8 208
9 208
10 236
11 236
-1
nbFCourses
60
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
#FCourse Course
0 30
1 30
2 30
3 30
4 30
5 30
6 30
7 30
8 30
9 30
10 96
11 96
12 96
13 96
14 96
15 96
16 96
17 96
18 96
19 96
20 196
21 196
22 196
23 196
24 196
25 196
26 196
27 196
28 196
29 196
30 206
31 206
32 206
33 206
34 206
35 206
36 206
37 206
38 206
39 206
40 208
41 208
42 208
43 208
44 208
45 208
46 208
47 208
48 208
49 208
50 236
51 236
52 236
53 236
54 236
55 236
56 236
57 236
58 236
59 236
-1
