#nbClassCourse			
135		
#ID	#course	#class	#block
1	CSI101	SE1007	0
2	SSG101	SE1007	0
3	MAE101	SE1007	3
4	PRF192	SE1007	0
5	CEA201	SE1007	0
6	CSI101	SE1008	0
7	SSG101	SE1008	0
8	MAE101	SE1008	3
9	PRF192	SE1008	0
10	CEA201	SE1008	0
11	CSI101	SE1009	0
12	SSG101	SE1009	0
13	MAE101	SE1009	3
14	PRF192	SE1009	0
15	CEA201	SE1009	0
16	CSI101	SE1010	0
17	SSG101	SE1010	0
18	MAE101	SE1010	3
19	PRF192	SE1010	0
20	CEA201	SE1010	0
21	CSI101	SE1011	0
22	SSG101	SE1011	0
23	MAE101	SE1011	3
24	PRF192	SE1011	0
25	CEA201	SE1011	0
26	CSI101	SE1012	0
27	SSG101	SE1012	0
28	MAE101	SE1012	3
29	PRF192	SE1012	0
30	CEA201	SE1012	0
31	MAE101	EC1003	0
32	CSI101	EC1003	0
33	CEA201	EC1003	3
34	PRF192	EC1003	0
35	PHY101	EC1003	0
36	CSI101	IA1003	0
37	SSG101	IA1003	0
38	MAE101	IA1003	3
39	PRF192	IA1003	0
40	CEA201	IA1003	0
41	PRO201	SE1004	0
42	PRO192	SE1004	0
43	DBI202	SE1004	3
44	MAD101	SE1004	0
45	LAB101	SE1004	1
46	PRO201	SE1005	0
47	PRO192	SE1005	0
48	DBI202	SE1005	3
49	MAD101	SE1005	0
50	LAB101	SE1005	1
51	PRO201	SE1006	0
52	PRO192	SE1006	0
53	DBI202	SE1006	3
54	MAD101	SE1006	0
55	LAB101	SE1006	2
56	PRO201	IA1002	0
57	PRO192	IA1002	0
58	DBI202	IA1002	3
59	MAD101	IA1002	0
60	LAB101	IA1002	2
61	JPD111	SE1001	0
62	OSG202	SE1001	0
63	CSD201	SE1001	3
64	PRJ311	SE1001	0
65	LAB211	SE1001	1
66	JPD111	SE1002	0
67	OSG202	SE1002	0
68	CSD201	SE1002	3
69	PRJ311	SE1002	0
70	LAB211	SE1002	1
71	JPD111	SE1003	0
72	OSG202	SE1003	0
73	CSD201	SE1003	3
74	PRJ311	SE1003	0
75	LAB211	SE1003	2
76	IAO101	EC1001	0
77	OSG202	EC1001	0
78	CSD201	EC1001	3
79	PRJ311	EC1001	0
80	LAB211	EC1001	2
81	DBI202	SE0907	0
82	PRN292	SE0907	0
83	CSD201	SE0907	3
84	NWC202	SE0907	0
85	JPD131	SE0907	0
86	DBI202	SE0908	0
87	PRN292	SE0908	0
88	CSD201	SE0908	3
89	NWC202	SE0908	0
90	JPD131	SE0908	0
91	DBI202	SE0909	0
92	PRN292	SE0909	0
93	CSD201	SE0909	3
94	NWC202	SE0909	0
95	JPD131	SE0909	0
96	DBI202	SE0910	0
97	PRN292	SE0910	0
98	CSD201	SE0910	3
99	NWC202	SE0910	0
100	JPD131	SE0910	0
101	DBI202	SE0911	0
102	PRN292	SE0911	0
103	CSD201	SE0911	3
104	NWC202	SE0911	0
105	JPD131	SE0911	0
106	CSD202	IA0902	0
107	DBI202	IA0902	0
108	IAP201	IA0902	3
109	NWC202	IA0902	0
110	CES201	IA0902	0
111	CSD202	IA0903	0
112	DBI202	IA0903	0
113	IAP201	IA0903	3
114	NWC202	IA0903	0
115	CES201	IA0903	0
116	SWR301	SE0904	0
117	SWQ391	SE0904	0
118	JPS132	SE0904	3
119	MAS291	SE0904	0
120	PRJ321	SE0904	0
121	SWR301	SE0905	0
122	SWQ391	SE0905	0
123	JPS132	SE0905	3
124	MAS291	SE0905	0
125	PRJ321	SE0905	0
126	SWR301	SE0906	0
127	SWQ391	SE0906	0
128	JPS132	SE0906	3
129	MAS291	SE0906	0
130	PRJ321	SE0906	0
131	IAA301	IA10901	0
132	IAA201	IA10901	0
133	IAP301	IA10901	3
134	SRE301	IA10901	0
135	OSP201	IA10901	0
-1			
