#nbRoom			
50		
#ID	#code	#building	#capacity
0	P201	GD	30
1	P202	GD	30
2	P203	GD	30
3	P204	GD	30
4	P205	GD	30
5	P209	GD	30
6	P211	GD	30
7	P212	GD	30
8	P215	GD	30
9	P216	GD	30
10	P217	GD	30
11	P218	GD	30
12	P219	GD	30
13	P220	GD	30
14	P221	GD	30
15	P301	GD	30
16	P302	GD	30
17	P303	GD	30
18	P304	GD	30
19	P305	GD	30
20	P306	GD	30
21	P307	GD	30
22	P308	GD	30
23	P309	GD	30
24	P310	GD	30
25	P311	GD	31
26	P312	GD	32
27	P313	GD	30
28	P314	GD	30
29	P315	GD	30
30	P316	GD	30
31	P317	GD	30
32	P318	GD	30
33	P319	GD	30
34	P320	GD	31
35	P321	GD	30
36	P411	GD	32
37	HB/201L	HB	33
38	HB/203L	HB	30
39	HB/204L	HB	30
40	HB/205L	HB	30
41	HB/206L	HB	30
42	HB/207L	HB	30
43	HB/301R	HB	30
44	HB/302R	HB	30
45	HB/303R-305R	HB	70
46	HB/304R	HB	30
47	HB/307R	HB	30
48	HB/309R	HB	30
49	HB/202R	HB	30
-1			
