#nbCourses
5
#courses
85 86 87 88 89 
#status
2 1 1 0 3 
#nbFCourses_short
10
#FCourses_short
0 1 2 3 4 5 6 7 8 9 
#FCourse_short Course
0 85
1 85
2 86
3 86
4 87
5 87
6 88
7 88
8 89
9 89
-1
nbFCourses
50
FCourses
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
#FCourse Course
0 85
1 85
2 85
3 85
4 85
5 85
6 85
7 85
8 85
9 85
10 86
11 86
12 86
13 86
14 86
15 86
16 86
17 86
18 86
19 86
20 87
21 87
22 87
23 87
24 87
25 87
26 87
27 87
28 87
29 87
30 88
31 88
32 88
33 88
34 88
35 88
36 88
37 88
38 88
39 88
40 89
41 89
42 89
43 89
44 89
45 89
46 89
47 89
48 89
49 89
-1
