#nbCases
57
#ccCode1 	#hostClass 	#guestClass
ITE302	ES10801	ES20801
ISC301	ES10801	ES20801
PRX301	IS20802	ES20801
VNR201	IS20802	ES10802
SSC102	IS20802	ES10802
ESS301	ES20802	ES10802
SWM301	JS0803	ES10802
DGT301	EC0902	ES10802
VNR201	ISE0801	ES20802
SWM301  JS0803 	ES20802
SSC102  JS0804	ES20802
PRM391  ES10801 ES20802
VNR201	IS20802	JS0803
ITE302	ES10801	CS0801
MLN101	ES20803	CS0801
MLN101	IS10803	JS0804
MLN101	IS20803	JS0805
ECM391	EC0802	EC0803
OFC311	EC0802	EC0803
SSC102	IS20802 EC0803
ESH201	ES20803	EC0803
JPS132	SE0904	EC10902
MAS291	SE0904	EC10902
DGT301	EC0902	EC10902
NWC202	IA0902	EC10902
CEA201	IA1003	EC10902
EEA211	SE1008	EC10902
CSD201	SE1002	EC0902
OSG202	SE1002	EC0902
EEA211	EC1001	EC0902
CSD201	SE1002	EC1001 
LAB211	SE1002	EC1001
JPD111	SE1001	EC1001
DGT301	EC0902	EC1001
VNL111	ISE1001	ISE1002
VNR201	ISE0801	MKT0802
VNR201	IS20802	COF0802&COB0802&FIN0802
FIN402	COF0803	FIN0803
MLN101	ES20803	FIN0803
MLN101	ES20804	MKT0803
MLN101	ES20803	COF0803
ENM401	MKT0902	FIN0902
CHN132	MKT0902	FIN0902
PRE201	MKT0902	FIN0902
ENM401	MKT0902	COF0902
CHN132	MKT0902	COF0902
FIN303	FIN0902	COF0902
ACC305	FIN0902	COF0902
MKT201	MKT0902	IBA0902
PRE201	MKT0902	IBA0902
MKT202	MKT0902	IBA0902
ENL112	IBA1002	IBA0902
FIN301	COF0902	COF0903
MAS201	COF0903	IBA0903.M
ENL111	FB1003	MKT0903
VNL111	IBA1003	IBA1002
ENL111	BA1003	IBA1003
-1
