#nbBuilding
2
#ID #Code
1	GD
2	HB
#nbRoom
49
#ID	#code	#buildingCode
1	P201	GD
2	P202	GD
3	P203	GD
4	P204	GD
5	P205	GD
6	P209	GD
7	P211	GD
8	P212	GD
9	P215	GD
10	P216	GD
11	P217	GD
12	P218	GD
13	P219	GD
14	P220	GD
15	P221	GD
16	P301	GD
17	P302	GD
18	P303	GD
19	P304	GD
20	P305	GD
21	P306	GD
22	P307	GD
23	P308	GD
24	P309	GD
25	P310	GD
26	P311	GD
27	P312	GD
28	P313	GD
29	P314	GD
30	P315	GD
31	P316	GD
32	P317	GD
33	P318	GD
34	P319	GD
35	P320	GD
36	P321	GD
37	P411	GD
38	HB/201L	HB
39	HB/203L	HB
40	HB/204L	HB
41	HB/205L	HB
42	HB/206L	HB
43	HB/207L	HB
44	HB/301R	HB
45	HB/302R	HB
46	HB/303R-305R	HB
47	HB/304R	HB
48	HB/307R	HB
49	HB/309R	HB
-1
